Clean Water,(Water),,,,6750209
Goat's Milk,(Water),(Food),,,6750210
Plant Essence,(Water),(Medicinal),,,6750211
Roteswasser Tonic,(Water),(Poison),,,6750212
Foamy Water,(Water),(Gas),,,6750213
Jade Water,(Water),(Elixir),,,6750214
Ether Aqua,(Water),(Mystery),,,6750215
Nameless Grass,(Plant),,,,6750216
Fodder,(Plant),(Fuel),,,6750217
Lucky Clover,(Plant),(Flower),(Mystery),,6750218
Blue Clover,(Plant),(Flower),,,6750219
Poison Grass,(Plant),(Poison),,,6750220
Wasser Wheat,(Plant),(Food),,,6750221
Maple Leaf,(Plant),(Fuel),(Elixir),,6750222
Sweet Leaf,(Plant),(Food),,,6750223
Rosen Leaf,(Plant),(Flower),(Medicinal),,6750224
Ancient Branch,(Plant),(Elixir),(Lumber),,6750225
Uni,(Uni),,,,6750226
Silver Uni,(Uni),(Metal),,,6750227
Gold Uni,(Uni),(Metal),(Mystery),,6750228
Health Flower,(Flower),(Medicinal),,,6750229
Northern Wind Flower,(Flower),(Poison),,,6750230
Sunny Honey Flower,(Flower),(Spice),,,6750231
Blessed Pure Flower,(Flower),(Mystery),,,6750232
Memorial Mist Flower,(Flower),(Fuel),,,6750233
Serene Moon Flower,(Flower),(Medicinal),,,6750234
Nightglow Flower,(Flower),(Medicinal),,,6750235
Lantern Grass,(Flower),(Plant),(Mystery),,6750236
Bubble Grass,(Flower),(Plant),(Gas),,6750237
Serenity Flower,(Flower),(Medicinal),,,6750238
Spring Princess,(Flower),(Medicinal),(Elixir),,6750239
Esplante,(Flower),(Poison),,,6750240
Delphi Rose,(Flower),(Thread),,,6750241
Taun,(Medicinal),(Plant),,,6750242
Tall Taun,(Medicinal),(Plant),,,6750243
Mutant Taun,(Medicinal),(Plant),,,6750244
Triplet Taun,(Medicinal),(Plant),,,6750245
Crimson Grass,(Medicinal),(Elixir),,,6750246
Bitter Root,(Medicinal),(Poison),,,6750247
Sapling Branch,(Medicinal),(Mystery),,,6750248
Medicine Moss,(Medicinal),(Plant),,,6750249
Fertile Soil,(Medicinal),(Fuel),,,6750250
Medium Medicine,(Medicinal),(Poison),(Elixir),,6750251
Kumine Fruit,(Poison),(Food),,,6750252
Kumine Poison,(Poison),(Water),,,6750253
Rotten Tree Bark,(Poison),(Fuel),,,6750254
