ITEM_MAT_LIQUID_001,Clean Water
ITEM_MAT_LIQUID_002,Goat's Milk
ITEM_MAT_LIQUID_003,Plant Essence
ITEM_MAT_LIQUID_004,Roteswasser Tonic
ITEM_MAT_LIQUID_007,Foamy Water
ITEM_MAT_LIQUID_005,Jade Water
ITEM_MAT_LIQUID_006,Ether Aqua
ITEM_MAT_PLANT_001,Nameless Grass
ITEM_MAT_PLANT_002,Fodder
ITEM_MAT_PLANT_008,Lucky Clover
ITEM_MAT_PLANT_009,Blue Clover
ITEM_MAT_PLANT_003,Poison Grass
ITEM_MAT_PLANT_004,Wasser Wheat
ITEM_MAT_PLANT_010,Maple Leaf
ITEM_MAT_PLANT_005,Sweet Leaf
ITEM_MAT_PLANT_006,Rosen Leaf
ITEM_MAT_PLANT_007,Ancient Branch
ITEM_MAT_UNI_001,Uni
ITEM_MAT_UNI_002,Silver Uni
ITEM_MAT_UNI_003,Gold Uni
ITEM_MAT_FLOWER_001,Health Flower
ITEM_MAT_FLOWER_002,Northern Wind Flower
ITEM_MAT_FLOWER_003,Sunny Honey Flower
ITEM_MAT_FLOWER_010,Blessed Pure Flower
ITEM_MAT_FLOWER_011,Memorial Mist Flower
ITEM_MAT_FLOWER_012,Serene Moon Flower
ITEM_MAT_FLOWER_004,Nightglow Flower
ITEM_MAT_FLOWER_005,Lantern Grass
ITEM_MAT_FLOWER_006,Bubble Grass
ITEM_MAT_FLOWER_013,Serenity Flower
ITEM_MAT_FLOWER_007,Spring Princess
ITEM_MAT_FLOWER_008,Esplante
ITEM_MAT_FLOWER_009,Delphi Rose
ITEM_MAT_MEDICAL_001,Taun
ITEM_MAT_MEDICAL_002,Tall Taun
ITEM_MAT_MEDICAL_007,Mutant Taun
ITEM_MAT_MEDICAL_008,Triplet Taun
ITEM_MAT_MEDICAL_009,Crimson Grass
ITEM_MAT_MEDICAL_010,Bitter Root
ITEM_MAT_MEDICAL_003,Sapling Branch
ITEM_MAT_MEDICAL_004,Medicine Moss
ITEM_MAT_MEDICAL_005,Fertile Soil
ITEM_MAT_MEDICAL_006,Medium Medicine
ITEM_MAT_POISON_001,Kumine Fruit
ITEM_MAT_POISON_002,Kumine Poison
ITEM_MAT_POISON_003,Rotten Tree Bark
ITEM_MAT_POISON_004,Resentful Scream
ITEM_MAT_POISON_005,Mushroom Powder
ITEM_MAT_POISON_006,Death's Grief
ITEM_MAT_ELIXIL_001,Forest Sage
ITEM_MAT_ELIXIL_002,Dunkelheit
ITEM_MAT_SAND_001,Soft Sand
ITEM_MAT_SAND_002,Burning Sand
ITEM_MAT_SAND_003,Ashen Sand
ITEM_MAT_SAND_004,Polluted Humus
ITEM_MAT_SAND_005,Emerald Glass
ITEM_MAT_STONE_001,Sandstone
ITEM_MAT_STONE_002,Nectar Rock
ITEM_MAT_STONE_003,Eroded Stone
ITEM_MAT_STONE_009,Ancient Pillar
ITEM_MAT_STONE_010,Coral Stone
ITEM_MAT_STONE_011,Cave Coral
ITEM_MAT_STONE_004,Riverstone
ITEM_MAT_STONE_005,Blue Flame Riverstone
ITEM_MAT_STONE_006,Waterside Moss Stone
ITEM_MAT_STONE_007,Stalactite Fragment
ITEM_MAT_STONE_008,Ethereal Stone
ITEM_MAT_ORE_001,Crimson Ore
ITEM_MAT_ORE_002,Aqua Ore
ITEM_MAT_ORE_003,Lightning Ore
ITEM_MAT_ORE_004,Amatite Ore
ITEM_MAT_ORE_005,Koberinite
ITEM_MAT_ORE_006,Pentanite
ITEM_MAT_ORE_007,Mordinite
ITEM_MAT_ORE_008,Goldinite
ITEM_MAT_ORE_009,Cometstone
ITEM_MAT_ORE_010,Degenesis Stone
ITEM_MAT_ORE_011,Septrin
ITEM_MAT_GEMSTONE_007,Small Crystal
ITEM_MAT_GEMSTONE_001,Unknown Gemstone
ITEM_MAT_GEMSTONE_002,Shell Pearl
ITEM_MAT_GEMSTONE_008,Marbled Stone
ITEM_MAT_GEMSTONE_009,Amber Fragment
ITEM_MAT_GEMSTONE_003,Amber Crystal
ITEM_MAT_GEMSTONE_004,Magnemalmoa
ITEM_MAT_GEMSTONE_005,Holy Arbor Crystal
ITEM_MAT_GEMSTONE_006,Rainbow Gemstone
ITEM_MAT_POWDER_001,Dried Lumber
ITEM_MAT_POWDER_002,Flame Black Sand
ITEM_MAT_POWDER_003,Magma Powder
ITEM_MAT_FUEL_001,Scrap Paper
ITEM_MAT_FUEL_002,Flammable Bark
ITEM_MAT_FUEL_003,Palma Bark
ITEM_MAT_FUEL_004,Natural Oil
ITEM_MAT_FUEL_005,Smokey Charcoal
ITEM_MAT_FUEL_006,Palma Charcoal
ITEM_MAT_FOODSTUFF_005,Wild Potato
ITEM_MAT_FOODSTUFF_001,Beast Meat
